OrderID,SKU,Quantity,Marketplace,MSKU
X002816EM5,CSTE_0545_ST_Animal_Breathing_Dog_B_2,1,Amazon,CSTE_DOG_BREATHING_TOY
X002816EM5,CSTE_0545_ST_Animal_Breathing_Dog_B_2,1,Amazon,Amazon
X0027Z4S1L,Breathing_Lilo_Stich_Blue,1,Amazon,CSTE_STITCH_BLUE
X0027Z4S1L,Breathing_Lilo_Stich_Blue,1,Amazon,Amazon
X0027Z05S1,Storage_Box_white_2,1,Amazon,CSTE_STORAGE_WHITE_2
X0027Z05S1,Storage_Box_white_2,1,Amazon,Amazon
X0027Z05QX,Storage_Box_white_4,1,Amazon,CSTE_STORAGE_WHITE_4
X0027Z05QX,Storage_Box_white_4,1,Amazon,Amazon
X0027SINDR,CSTE_O0446_OT_Glue_Sand_Rubber_Pig,1,Amazon,CSTE_PIG_GLUE_SAND
X0027SINDR,CSTE_O0446_OT_Glue_Sand_Rubber_Pig,1,Amazon,Amazon
X0027QARD3,CSTE_0541_ST_Animal_Breathing_Fox,1,Amazon,UNMAPPED
X0027KYKHN,CSTE_O0442_OT_Squeeze_White,1,Amazon,UNMAPPED
X0027KWARF,CSTE_O0443_OT_Squeeze_Yellow,1,Amazon,UNMAPPED
X0027KWARF,CSTE_O0443_OT_Squeeze_Yellow,1,Amazon,UNMAPPED
X0027KW4W1,CSTE_O0444_OT_Squeeze_Purple,1,Amazon,UNMAPPED
X0027DGAZZ,CSTE_0226_SG_Square/Big_Black,1,Amazon,UNMAPPED
X00279NLG5,Breathing_Otter_Blue,1,Amazon,UNMAPPED
X00279NLG5,Breathing_Otter_Blue,1,Amazon,UNMAPPED
X002739P9X,CSTE_0536_ST_Animal_Breathing_lamb_White,1,Amazon,UNMAPPED
X0026FX4Q7,CSTE_0502_ST_Minecraft_Pickaxe_Foam,1,Amazon,UNMAPPED
X0026FX4Q7,CSTE_0502_ST_Minecraft_Pickaxe_Foam,1,Amazon,UNMAPPED
X0026EX1AH,CSTE_0491_ST_Fruit_Blox_Spirit,1,Amazon,UNMAPPED
X0026EWNTH,CSTE_0490_ST_Fruit_Blox_Shadow,1,Amazon,CSTE_FRUIT_SHADOW_BLOX
X0026EWNTH,CSTE_0490_ST_Fruit_Blox_Shadow,1,Amazon,Amazon
X0026CNFAP,Hermoine_light_SG,1,Amazon,UNMAPPED
X0025L96YB,CSTE_0488_ST_Anim_Breathing_Stitch_Blue,1,Amazon,UNMAPPED
X0025L96YB,CSTE_0488_ST_Anim_Breathing_Stitch_Blue,1,Amazon,UNMAPPED
X0024AAU4D,minecraft_Sward_Small,1,Amazon,UNMAPPED
X0024AAU4D,minecraft_Sward_Small,1,Amazon,UNMAPPED
X0024AAU4D,minecraft_Sward_Small,1,Amazon,UNMAPPED
X0024AAU4D,minecraft_Sward_Small,1,Amazon,UNMAPPED
X0024AAU4D,minecraft_Sward_Small,1,Amazon,UNMAPPED
X0024AAU4D,minecraft_Sward_Small,1,Amazon,UNMAPPED
X0024AAU4D,minecraft_Sward_Small,1,Amazon,UNMAPPED
X0024A2EYH,minecraft_Sward_Big,1,Amazon,UNMAPPED
X0024A2EYH,minecraft_Sward_Big,1,Amazon,UNMAPPED
X0024A2EYH,minecraft_Sward_Big,1,Amazon,UNMAPPED
X0024A2EYH,minecraft_Sward_Big,1,Amazon,UNMAPPED
X0024A2EVZ,hello kitty,1,Amazon,UNMAPPED
X00219AWV3,Minecraft_Steve,1,Amazon,UNMAPPED
